,Sales,Profit,Quantity,Discount,Profit Margin,Profit per Unit
Sales,1.0,-0.2069070119067111,0.7458361030012752,-0.03823286546504605,-0.006985867579404371,0.048856588394302944
Profit,-0.2069070119067111,1.0,-0.14957884874670643,-0.09354973287539468,0.10952522189854653,0.679808293670277
Quantity,0.7458361030012752,-0.14957884874670643,1.0,-0.017446267318782308,0.0033230713855722156,-0.016427948278915295
Discount,-0.03823286546504605,-0.09354973287539468,-0.017446267318782308,1.0,-0.03885153122305413,-0.1406753845565311
Profit Margin,-0.006985867579404371,0.10952522189854653,0.0033230713855722156,-0.03885153122305413,1.0,0.22517730236787797
Profit per Unit,0.048856588394302944,0.679808293670277,-0.016427948278915295,-0.1406753845565311,0.22517730236787797,1.0
